zoning date,Zone Cost
1999-05-31 00:00:00,425.0
1999-08-20 00:00:00,75.0
2024-05-21 00:00:00,695.0
2005-12-02 00:00:00,599.0
2006-04-28 00:00:00,615.0
2006-07-28 00:00:00,650.0
2006-10-24 00:00:00,650.0
2010-08-02 00:00:00,575.0
2010-11-11 00:00:00,300.0
1998-09-28 00:00:00,372.0
2009-05-20 00:00:00,675.0
2010-05-05 00:00:00,675.0
2011-05-13 00:00:00,675.0
2011-08-12 00:00:00,675.0
2012-05-07 00:00:00,675.0
2013-05-07 00:00:00,685.0
2014-04-25 00:00:00,695.0
2014-05-30 00:00:00,695.0
2014-07-17 00:00:00,695.0
2014-08-28 00:00:00,695.0
2015-03-30 00:00:00,695.0
2015-04-15 00:00:00,695.0
2015-06-26 00:00:00,695.0
2015-08-17 00:00:00,695.0
2016-03-25 00:00:00,695.0
2016-04-10 00:00:00,695.0
2016-06-28 00:00:00,695.0
2016-09-06 00:00:00,695.0
2016-10-12 00:00:00,695.0
2017-03-20 00:00:00,695.0
2017-04-07 00:00:00,695.0
2017-06-19 00:00:00,695.0
2017-08-17 00:00:00,695.0
2017-09-28 00:00:00,695.0
2018-04-04 00:00:00,695.0
2018-04-16 00:00:00,695.0
2018-06-16 00:00:00,695.0
2018-07-26 00:00:00,695.0
2018-09-25 00:00:00,695.0
2019-04-05 00:00:00,725.0
2019-04-15 00:00:00,725.0
2019-06-19 00:00:00,725.0
2019-08-20 00:00:00,725.0
2019-10-02 00:00:00,725.0
2020-03-24 00:00:00,725.0
2020-06-01 00:00:00,725.0
2020-08-15 00:00:00,725.0
2020-09-01 00:00:00,725.0
2021-03-16 00:00:00,725.0
2021-04-08 00:00:00,725.0
2021-06-04 00:00:00,725.0
2021-08-17 00:00:00,725.0
2021-09-23 00:00:00,725.0
2022-03-14 00:00:00,750.0
2022-04-11 00:00:00,750.0
2022-06-08 00:00:00,750.0
2022-08-01 00:00:00,750.0
2022-09-07 00:00:00,750.0
2023-03-23 00:00:00,750.0
2023-05-03 00:00:00,750.0
2023-06-14 00:00:00,750.0
2023-08-16 00:00:00,750.0
2023-09-20 00:00:00,750.0
2024-02-21 00:00:00,790.0
2024-03-15 00:00:00,750.0
2024-05-21 00:00:00,750.0
2024-06-12 00:00:00,750.0
2024-08-26 00:00:00,750.0
2024-09-06 00:00:00,750.0
2024-11-22 00:00:00,650.0
2024-12-18 00:00:00,650.0
2024-06-27 00:00:00,820.0
2009-12-10 00:00:00,495.0
2019-11-19 00:00:00,655.0
2019-12-16 00:00:00,675.0
2020-03-06 00:00:00,675.0
2020-03-24 00:00:00,675.0
2020-06-01 00:00:00,595.0
2020-07-06 00:00:00,595.0
2020-08-15 00:00:00,695.0
2020-09-01 00:00:00,695.0
2020-09-15 00:00:00,695.0
2020-11-19 00:00:00,695.0
2020-12-08 00:00:00,695.0
2020-12-16 00:00:00,695.0
2021-03-16 00:00:00,695.0
2021-03-31 00:00:00,695.0
2021-04-08 00:00:00,725.0
2021-04-15 00:00:00,725.0
2021-05-14 00:00:00,725.0
2021-06-04 00:00:00,725.0
2021-06-07 00:00:00,695.0
2021-06-14 00:00:00,695.0
2021-07-01 00:00:00,675.0
2021-07-06 00:00:00,695.0
2021-08-17 00:00:00,695.0
2021-08-30 00:00:00,695.0
2021-09-07 00:00:00,695.0
2021-09-23 00:00:00,695.0
2021-09-27 00:00:00,695.0
2021-10-04 00:00:00,695.0
2021-10-25 00:00:00,695.0
